c9f6e46 - SebastianVega4, hace 15 horas : añadit trabajos
0809069 - SebastianVega4, hace 3 días : añadir proyecto de Metodos numericos en angular y Python
7b64e29 - “SebastianVega4”, hace 4 meses : arreglar archivos
6203916 - “SebastianVega4”, hace 4 meses : 2024_2
8594955 - “SebastianVega4”, hace 1 año : eliminar repositorio añidado
07d6167 - “SebastianVega4”, hace 1 año : eliminar repositorio añidado
dca320b - “SebastianVega4”, hace 1 año : ignorar los .jar
1584573 - “SebastianVega4”, hace 1 año : subir local
03a6347 - “SebastianVega4”, 1 año, y 1 mes atrás : arreglar y optimizar repositorio eliminando archivos
ced74da - “SebastianVega4”, 1 año, y 1 mes atrás : proyecto grafos matematicas dicretas terminado para mostrar
1a6e625 - “SebastianVega4”, 1 año, y 1 mes atrás : el proyecto mdi ya con interfaz
aff68d6 - “SebastianVega4”, 1 año, y 1 mes atrás : grafo funcional
5a158fa - “SebastianVega4”, 1 año, y 1 mes atrás : grafo completo
de4c14a - “SebastianVega4”, 1 año, y 1 mes atrás : añadiendo municipios al grafo
5aa7ef0 - “SebastianVega4”, 1 año, y 1 mes atrás : mejorar codigo
f6182bf - “SebastianVega4”, 1 año, y 1 mes atrás :  mejor codigo
5730799 - “SebastianVega4”, 1 año, y 1 mes atrás : ahora si ya la logica y creo que ubicacion de estica esta bien solo falta color y update imagen
dcc362b - “SebastianVega4”, 1 año, y 1 mes atrás : codoptimizado
7a84673 - “SebastianVega4”, 1 año, y 1 mes atrás : añadir imagen al interfa
c388e3d - “SebastianVega4”, 1 año, y 1 mes atrás : codigo arregladado y optimizado
92535f9 - “SebastianVega4”, 1 año, y 1 mes atrás : logica terminada del proyecto matematicas discretas
63a57bb - “SebastianVega4”, 1 año, y 1 mes atrás : funcionalidad  mdi
eb0bcd8 - “SebastianVega4”, 1 año, y 1 mes atrás : m4horandi mdi
1303123 - “SebastianVega4”, 1 año, y 1 mes atrás : ya terminado casi el mdi falta una validacion e interfaz
337071f - “SebastianVega4”, 1 año, y 1 mes atrás : pryectro mdi
e322b9f - “SebastianVega4”, 1 año, y 1 mes atrás : muchos cambios añadir proyecto web el proyecto mdi y otras cosas que hice en estas semanas
055cb68 - “SebastianVega4”, 1 año, y 1 mes atrás : actulizacion
5b028f9 - “SebastianVega4”, 1 año, y 1 mes atrás : agregar taller hilos termnado
89b6a69 - “SebastianVega4”, 1 año, y 1 mes atrás : adañir Tallerhilos casi terminado y mejorando el proyecto grafos
fd520da - “SebastianVega4”, 1 año, y 1 mes atrás : adicionar tallerHilos
424cbe8 - “SebastianVega4”, 1 año, y 2 meses atrás : añadir parcial hilos
2fa630b - “SebastianVega4”, 1 año, y 2 meses atrás : se me olvido actulizarlo desde teprano ahora si en el repositorio esta todo el codigo funcional
9705fe0 - “SebastianVega4”, 1 año, y 2 meses atrás : comentado
2134f41 - “SebastianVega4”, 1 año, y 2 meses atrás : finalizado con las ciudades y pueblos correctos
2090591 - “SebastianVega4”, 1 año, y 2 meses atrás : mas informacion en la imprecion de datos e interfaz mejorada
b744975 - “SebastianVega4”, 1 año, y 2 meses atrás : ambos lados trayecto e imprecion
03887b7 - “SebastianVega4”, 1 año, y 2 meses atrás : codigo de proyectoGrafo funcional
a21aefd - “SebastianVega4”, 1 año, y 2 meses atrás : agregar coreciones
eace6e2 - “SebastianVega4”, 1 año, y 2 meses atrás : proyectoGrafos
531c846 - “SebastianVega4”, 1 año, y 2 meses atrás : agregar 'hilos'
5018ed6 - “SebastianVega4”, 1 año, y 2 meses atrás : grafos clase
88e38c6 - “SebastianVega4”, 1 año, y 4 meses atrás : crreguido
32dba29 - “SebastianVega4”, 1 año, y 4 meses atrás : .
c420b42 - “SebastianVega4”, 1 año, y 4 meses atrás : proyecto finalizado con java doc
bfa9def - “SebastianVega4”, 1 año, y 4 meses atrás : parcial primer 50
08d18ef - “SebastianVega4”, 1 año, y 4 meses atrás : parcial primer 50
863c058 - “SebastianVega4”, 1 año, y 4 meses atrás : cambiar arreglo estatico
7a85bfc - “SebastianVega4”, 1 año, y 4 meses atrás : solo falta mockups y terminado el diccionario
67bdefb - “SebastianVega4”, 1 año, y 4 meses atrás : terminar proyecto como tal
62cbc05 - “SebastianVega4”, 1 año, y 4 meses atrás : estructurando mejor el proyecto
3839022 - “SebastianVega4”, 1 año, y 4 meses atrás : añadiendo proyecto diccionario pri50%
71260a3 - “SebastianVega4”, 1 año, y 4 meses atrás : finish the project individual fisrt 50%
3d2e44a - “SebastianVega4”, 1 año, y 4 meses atrás : Proyect(taller individual) terminado
915653d - “SebastianVega4”, 1 año, y 4 meses atrás : casi terminado el Project(taller) progra
5864c26 - “SebastianVega4”, 1 año, y 4 meses atrás : agragando estructura de controller para proyecto
e5a0fe0 - “SebastianVega4”, 1 año, y 4 meses atrás : coreccion a ver si ya no coge repositorio dentro de otro
87b8b84 - “SebastianVega4”, 1 año, y 4 meses atrás : LinkedDouble funcional
d80de03 - “SebastianVega4”, 1 año, y 4 meses atrás : coregir directorio lista dobles
0bd62cf - “SebastianVega4”, 1 año, y 4 meses atrás : codigo de listas dobles funcional con clase Player
1e6a28d - “SebastianVega4”, 1 año, y 4 meses atrás : añadir proyecto y optimizacion de las carpertas
d57962e - “SebastianVega4”, 1 año, y 4 meses atrás : iniciar proceso entrega
05f1258 - “SebastianVega4”, 1 año, y 4 meses atrás : areglar directorio de ejercicos c++
5cbeeff - “SebastianVega4”, 1 año, y 4 meses atrás : prjDataStructure completo
a6cfafb - “SebastianVega4”, 1 año, y 5 meses atrás : c++ add
85146ad - “SebastianVega4”, 1 año, y 5 meses atrás : arreglar codigo para iterar al final y salga al derecho
0dd5a5d - “SebastianVega4”, 1 año, y 5 meses atrás : añadir prjData prograIII
d992409 - “SebastianVega4”, 1 año, y 5 meses atrás : herencia c#
fde05a8 - Sebastian Vega, 1 año, y 6 meses atrás : Update README.md
64dd947 - “SebastianVega4”, 1 año, y 6 meses atrás : Merge branch 'main' of https://github.com/SebastianVega4/Java
8de04f8 - “SebastianVega4”, 1 año, y 6 meses atrás : añadir proyecto 2do 50 prograII
